,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
369,Sur,0,OM,1541883564,100,22.57,59.53,25.68,1.88
370,Abhar,92,IR,1541883838,99,36.14,49.22,4.56,1.36
371,Yabelo,24,ET,1541883839,89,4.89,38.09,16.23,1.36
372,Vao,92,EE,1541883667,98,59.1,26.19,3.33,5.03
373,Vestmannaeyjar,12,IS,1541883504,83,63.44,-20.27,8.36,8.56
374,Paramonga,20,PE,1541883839,98,-10.68,-77.82,18.81,4.21
375,Tuatapere,24,NZ,1541883548,88,-46.13,167.69,12.43,3.03
376,Aras,0,YE,1541883840,82,14.28,44.38,6.61,0.48
377,Shchebetovka,12,UA,1541883847,100,44.94,35.16,6.48,3.48
378,Meulaboh,92,ID,1541883653,100,4.14,96.13,23.68,2.23
379,Praya,68,ID,1541881800,94,-8.71,116.27,25.0,1.5
380,Anuradhapura,32,LK,1541883848,92,8.34,80.41,19.96,1.23
381,Esperance,20,TT,1541880000,58,10.24,-61.45,31.0,4.1
382,Yalvac,12,TR,1541883849,99,38.3,31.18,2.21,1.11
383,Marawi,80,PH,1541883849,100,8.0,124.29,20.76,1.23
384,Araouane,0,ML,1541883850,26,18.9,-3.53,21.56,3.28
385,La Ronge,90,CA,1541880000,78,55.1,-105.3,-9.0,6.7
386,Thunder Bay,20,CA,1541880000,53,48.41,-89.26,-6.0,3.1
387,Ilhabela,44,BR,1541883705,94,-23.78,-45.36,22.48,5.86
388,Miastko,8,PL,1541883852,93,54.0,16.98,6.73,4.31
389,Vila Franca do Campo,20,PT,1541881800,72,37.72,-25.43,19.0,7.2
390,Correntina,48,BR,1541883857,91,-13.34,-44.63,22.76,1.71
391,Ocampo,80,PH,1541883858,99,13.56,123.37,25.33,5.86
392,Trinidad,75,UY,1541880000,49,-33.52,-56.9,32.0,1.5
393,Tigil,0,RU,1541883858,58,57.8,158.67,-18.37,1.28
394,Seoul,75,KR,1541882220,93,37.57,126.98,8.0,0.5
395,Douglas,90,US,1541879760,92,58.28,-134.39,6.1,4.1
396,Botwood,90,CA,1541882820,92,49.14,-55.34,-1.0,7.2
397,Sankt Johann im Pongau,20,AT,1541881200,93,47.35,13.2,4.0,1.5
398,Talcahuano,75,CL,1541880000,88,-36.72,-73.12,17.0,5.1
399,Nome,90,US,1541883180,61,30.04,-94.42,11.1,5.7
400,Kaspiyskiy,88,RU,1541883863,100,45.39,47.37,6.11,5.18
401,Sinazongwe,0,ZM,1541883864,76,-17.26,27.46,23.26,2.63
402,San Vicente Pacaya,20,GT,1541880000,44,14.42,-90.64,33.0,7.2
403,Bilma,0,NE,1541883867,28,18.69,12.92,13.86,1.83
404,Guerrero Negro,0,MX,1541883867,45,27.97,-114.04,25.88,2.26
405,Hualmay,12,PE,1541883867,61,-11.1,-77.61,22.76,2.81
406,Te Anau,8,NZ,1541883868,78,-45.41,167.72,10.46,1.71
407,Poum,12,MK,1541883868,86,41.28,20.71,0.26,0.83
408,Dickinson,90,US,1541879760,71,46.88,-102.79,0.6,10.8
409,Itaberaba,36,BR,1541883868,77,-12.52,-40.31,25.21,4.21
410,Weligama,56,LK,1541883869,100,5.97,80.42,24.68,1.13
411,San Policarpo,68,PH,1541883869,100,12.18,125.51,25.11,4.63
412,Lokosovo,12,RU,1541883877,90,61.13,74.84,-16.8,4.03
413,Linjiang,64,CN,1541883878,81,41.81,126.91,-6.57,1.48
414,Longyan,12,CN,1541883878,95,25.1,117.03,12.18,0.88
415,Hailar,0,CN,1541883882,56,49.2,119.7,-16.75,1.23
416,Gararu,0,BR,1541883883,58,-9.97,-37.08,27.98,6.78
417,Emborion,8,GR,1541883883,86,40.48,21.55,-1.55,1.03
418,Inta,80,RU,1541883883,86,66.04,60.13,-10.75,3.31
419,Fershampenuaz,48,RU,1541883887,74,53.52,59.82,-12.27,2.33
420,Yumen,12,CN,1541883888,57,40.29,97.04,-5.55,1.58
421,Grindavik,0,IS,1541881800,75,63.84,-22.43,10.0,6.2
422,Evensk,0,RU,1541883898,100,61.92,159.24,-13.75,3.76
423,Lagoa,75,PT,1541881800,93,37.14,-8.45,18.0,4.1
424,Burns Lake,24,CA,1541883898,92,54.23,-125.76,0.33,1.28
425,Presidente Epitacio,0,BR,1541883899,55,-21.76,-52.12,30.33,1.88
426,Saint-Francois,40,FR,1541881800,87,46.42,3.91,9.0,1.0
427,Sorland,44,NO,1541883677,98,67.67,12.69,9.21,9.33
428,Oroquieta,92,PH,1541883900,100,8.49,123.8,22.26,0.31
429,Nongan,0,CN,1541880000,77,44.43,125.17,0.0,2.0
430,Srednekolymsk,0,RU,1541883900,35,67.46,153.71,-30.57,1.23
431,Flin Flon,90,CA,1541882580,72,54.77,-101.88,-9.0,2.6
432,Serov,24,RU,1541883903,79,59.61,60.57,-15.12,2.71
433,Sidhi,0,IN,1541883903,89,24.41,81.88,14.51,1.33
434,Luganville,88,VU,1541883904,100,-15.51,167.18,25.51,6.53
435,Solnechnyy,92,RU,1541883703,100,50.72,136.64,1.08,2.18
436,Boa Vista,40,BR,1541880000,37,2.82,-60.67,36.0,4.1
437,Sovetskiy,0,RU,1541883907,76,56.76,48.47,-10.0,3.31
438,College,90,US,1541879880,92,64.86,-147.8,-5.0,1.83
439,Langham,75,CA,1541880000,73,52.36,-106.96,-7.0,5.7
440,Haines Junction,88,CA,1541883908,96,60.75,-137.51,-9.27,1.11
441,Khonsa,8,IN,1541883912,88,26.99,95.51,10.88,0.43
442,Kingaroy,0,AU,1541883779,75,-26.54,151.84,17.56,3.36
443,Kiruna,92,SE,1541881200,94,67.86,20.23,0.0,3.1
444,Yerbogachen,0,RU,1541883912,73,61.28,108.01,-17.65,1.56
445,Batagay-Alyta,36,RU,1541883666,57,67.8,130.41,-25.15,1.81
446,Druskininkai,0,LT,1541883913,94,54.02,23.98,3.98,4.38
447,Nelson Bay,0,AU,1541881800,93,-32.72,152.14,15.0,2.1
448,Isaka,0,CD,1541883914,93,-2.81,17.72,23.38,0.93
449,Puerto Madryn,0,AR,1541883915,76,-42.77,-65.04,14.71,6.61
450,Lerwick,76,GB,1541881200,87,60.15,-1.15,10.0,5.1
451,Genhe,0,CN,1541883918,49,50.78,121.52,-20.52,1.23
452,Mogadishu,20,SO,1541883714,100,2.04,45.34,27.06,2.73
453,Muros,75,ES,1541881800,93,42.77,-9.06,13.0,6.7
454,Dukhovnitskoye,64,RU,1541883928,97,52.48,48.21,-4.27,7.76
455,Karratha,0,AU,1541883928,63,-20.74,116.85,21.81,4.08
456,Skeldon,12,GY,1541883928,93,5.88,-57.13,28.96,7.01
457,Belaya Gora,0,RU,1541883929,44,68.54,146.19,-33.15,1.36
458,Abu Dhabi,0,AE,1541883600,57,24.47,54.37,26.0,2.1
459,Balkhash,88,KZ,1541883932,100,46.84,74.98,-4.62,5.83
460,Mocorito,32,MX,1541883932,35,25.48,-107.92,31.88,2.51
461,Muzhi,56,RU,1541883937,84,65.4,64.7,-5.77,9.33
462,Guadalupe Victoria,40,MX,1541879340,42,21.68,-105.33,30.0,2.38
463,Spassk,64,RU,1541883948,68,53.93,43.19,-5.27,6.18
464,Axim,12,GH,1541883948,100,4.87,-2.24,27.93,5.06
465,Cayenne,0,GF,1541881800,66,4.94,-52.33,30.0,5.1
466,Coahuayana,24,MX,1541883615,76,18.62,-100.35,23.36,1.36
467,Crossville,1,US,1541883180,40,35.95,-85.03,5.0,3.6
468,Manakara,80,MG,1541883953,100,-22.14,48.01,21.63,2.51
469,Son La,92,VN,1541883953,99,21.32,103.9,17.33,0.88
470,Basudebpur,0,IN,1541883953,100,21.14,86.74,25.06,0.53
471,Ikeda,20,JP,1541880000,76,34.82,135.43,15.0,1.0
472,Jabinyanah,40,TN,1541880000,76,35.03,10.91,13.0,1.5
473,Lydenburg,0,ZA,1541883954,99,-25.1,30.46,11.71,0.78
474,Kikwit,20,CD,1541883954,92,-5.04,18.82,23.06,1.23
475,Concordia,20,AR,1541883955,47,-31.4,-58.02,32.08,5.33
476,Timra,92,SE,1541881200,100,62.49,17.33,6.0,6.7
477,Agadez,0,NE,1541883957,21,16.97,7.99,20.56,3.36
478,Nouadhibou,0,MR,1541880000,68,20.93,-17.03,21.0,5.7
479,Beringovskiy,92,RU,1541883599,99,63.05,179.32,1.83,10.16
480,Mananjary,92,MG,1541883957,96,-19.16,46.8,15.63,1.91
481,Ahuimanu,90,US,1541881920,93,21.44,-157.84,25.0,8.2
482,Saldanha,92,PT,1541883562,97,41.42,-6.55,9.83,4.03
483,Lorengau,0,PG,1541883551,100,-2.02,147.27,28.63,0.46
484,Itaituba,20,BR,1541880000,53,-4.26,-55.99,35.0,4.1
485,Rome,0,IT,1541881200,82,41.89,12.48,14.0,2.6
486,Alyangula,0,AU,1541883520,100,-13.85,136.42,28.11,1.83
487,Tooele,20,US,1541883240,34,40.53,-112.3,8.9,3.6
488,Khandyga,64,RU,1541883965,73,62.65,135.58,-21.22,1.13
489,Estelle,75,US,1541880900,27,32.87,-97.01,11.0,3.18
490,Nivala,92,FI,1541883968,93,63.93,24.96,2.33,4.06
491,Berdigestyakh,32,RU,1541883972,82,62.1,126.7,-17.27,2.28
492,Osorno,75,CL,1541880000,76,-40.57,-73.14,14.0,7.2
493,Tezu,0,IN,1541883985,51,27.93,96.16,12.86,0.98
494,Beyneu,92,KZ,1541883985,95,45.32,55.19,1.48,1.51
495,Shu,92,KZ,1541883987,85,43.6,73.76,-0.95,1.33
496,Zyryanka,0,RU,1541883988,73,65.73,150.89,-26.77,3.16
497,Portree,56,GB,1541883988,100,57.41,-6.19,8.88,6.46
498,Petrolia,90,CA,1541882100,64,42.88,-82.15,2.7,3.1
499,Ballina,44,IE,1541883988,100,54.11,-9.15,6.26,4.88
500,Sokolo,0,ML,1541883989,31,14.74,-6.12,24.58,4.06
501,Prince Rupert,40,CA,1541882460,87,54.32,-130.32,9.0,2.1
502,Calbuco,75,CL,1541880000,72,-41.77,-73.13,16.0,4.1
503,Belmonte,92,PT,1541883994,92,40.36,-7.35,11.01,1.68
504,Hartselle,1,US,1541882100,45,34.44,-86.94,7.8,3.1
505,Fairbanks,90,US,1541879880,92,64.84,-147.72,-5.0,1.83
506,Menongue,44,AO,1541883997,43,-14.66,17.68,22.46,1.88
507,Fengxian,8,CN,1541884002,73,33.91,106.52,-6.52,0.36
508,Cockburn Town,36,TC,1541884004,95,21.46,-71.14,28.56,5.26
509,Egvekinot,68,RU,1541883701,81,66.32,-179.17,-7.42,5.03
510,Kearney,40,US,1541882400,64,40.7,-99.08,2.0,4.1
511,Zafra,75,ES,1541880000,100,38.43,-6.42,16.0,4.6
512,Uruzgan,88,AF,1541884015,88,32.93,66.63,-0.55,0.78
513,Hede,92,SE,1541881200,100,60.45,15.49,6.0,5.7
514,Natal,40,BR,1541880000,65,-5.81,-35.21,28.0,8.2
515,Chara,75,GR,1541879400,93,39.42,22.43,13.0,0.83
516,Megion,0,RU,1541881800,83,61.04,76.11,-22.0,1.0
517,Gizo,20,IL,1541883000,59,31.8,34.94,20.0,2.6
518,Yulara,90,AU,1541880000,33,-25.24,130.99,21.0,2.1
519,Dingle,68,PH,1541883563,92,11.0,122.67,24.93,5.86
520,Noyabrsk,8,RU,1541884030,65,63.2,75.45,-22.55,3.73
